"DateTime","CaseID","TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour","vSPDLoadMegawatts","vSPDGenerationMegawatts"
"26-FEB-2025 11:55","251012025022255930","TP24","HAY1101",81.25298,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAY2201",81.25255,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAY3502",81.25255,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAY3503",81.25255,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HEN0331",93.71554,76.18059,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HEN1101",93.33358,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HEN2201",93.42485,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HEP0331",93.91710,78.71994,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HEP1101",93.66808,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HIN0331",92.54323,13.10306,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HIN1101",92.49497,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HKK0661",81.24657,2.94763,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY0331",90.08916,15.94714,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY0331 RHO0",90.08916,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY0331 RHO99",90.08916,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201",90.04950,7.39155,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201 HLY1",90.04950,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201 HLY2",90.04950,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201 HLY4",90.04950,0.00000,217.68500
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201 HLY5",90.04950,0.00000,226.63739
"26-FEB-2025 11:55","251012025022255930","TP24","HLY2201 HLY6",90.04950,0.00000,41.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HOB1101",93.23393,50.17761,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HOB2201",93.19627,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HOR0331",81.20067,6.35763,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HOR0661",81.11392,3.52559,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HPI2201",93.48905,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HPI2202",93.48905,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HRP2201",87.50334,0.41645,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HRP2201 HRP0",87.50334,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HTI0331",93.97289,17.16603,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HTI1101",93.40895,15.03297,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HUI0331",82.34565,21.33056,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HUI1101",82.20270,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HWA0331",84.06446,18.68964,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HWA0332",84.09531,10.56371,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HWA1101",83.86875,1.73489,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HWA1101 PTA1",83.86875,0.00000,1.04762
